"TOA5","CR3000_Estacao","CR3000","4133","CR3000.Std.10","CPU:BETANIA_sem sonico.CR3","44827","Baixa2"
"TIMESTAMP","RECORD","HMP45C_Temp_Max","HMP45C_Temp_TMx","HMP45C_RH_SMM","HMP45C_Temp_Min","HMP45C_Temp_TMn","HMP45C_RH_Max","HMP45C_RH_TMx","HMP45C_RH_Min","HMP45C_RH_TMn","RM05103_Veloc_Max","RM05103_Veloc_TMx","TB4_Tot"
"TS","RN","dec_C","dec_C","%","dec_C","dec_C","%","%","%","%","m/s","m/s","mm"
"","","Max","TMx","SMM","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Tot"
"2016-06-15 00:00:00",117,32.90612,"2016-06-14 14:20:08",55.46,23.81124,"2016-06-14 04:53:21",93.83537,"2016-06-14 05:27:10",46.67937,"2016-06-14 15:16:55",4.704,"2016-06-14 16:06:06",0.2
"2016-06-16 00:00:00",118,33.38452,"2016-06-15 12:56:10",48.9,23.89751,"2016-06-15 05:53:09",92.05862,"2016-06-15 06:22:51",46.26768,"2016-06-15 14:31:18",5.194,"2016-06-15 13:14:37",0
"2016-06-17 00:00:00",119,33.43616,"2016-06-16 14:35:29",47.64,23.61877,"2016-06-16 05:58:09",92.83704,"2016-06-16 06:27:38",42.0257,"2016-06-16 14:23:20",5.096,"2016-06-16 13:22:49",0
"2016-06-18 00:00:00",120,33.91348,"2016-06-17 12:52:00",46.83,22.59411,"2016-06-17 06:05:04",92.11234,"2016-06-17 06:33:06",35.4999,"2016-06-17 15:21:47",4.998,"2016-06-17 12:29:23",0
"2016-06-19 00:00:00",121,34.29334,"2016-06-18 13:59:58",44.4,23.36119,"2016-06-18 06:14:45",91.52036,"2016-06-18 06:19:28",40.06956,"2016-06-18 13:24:26",5.782,"2016-06-18 12:05:30",0
"2016-06-20 00:00:00",122,33.49509,"2016-06-19 12:47:04",49.98,23.62406,"2016-06-19 23:51:38",90.66298,"2016-06-19 18:39:20",47.75553,"2016-06-19 12:47:33",7.35,"2016-06-19 16:51:03",2
"2016-06-21 00:00:00",123,33.57094,"2016-06-20 12:38:13",51.1,22.54734,"2016-06-20 05:47:33",93.39606,"2016-06-20 06:56:41",45.87502,"2016-06-20 12:33:04",6.37,"2016-06-20 15:29:59",0.8
"2016-06-22 00:00:00",124,33.26784,"2016-06-21 13:24:15",52.38,23.05531,"2016-06-21 05:22:59",92.0013,"2016-06-21 05:41:13",48.3858,"2016-06-21 13:32:23",4.018,"2016-06-21 12:37:19",1.2
